citation_id,source_paper,citation_raw,doi,crossref_title,crossref_authors,crossref_year,crossref_venue,ground_truth_label,ground_truth_mapping_status,annotator,notes
1706.03762_001,1706.03762,"[1] Jimmy Lei Ba, Jamie Ryan Kiros, and Geoffrey E Hinton. Layer normalization. arXiv preprint arXiv:1607.06450, 2016.",10.2305/iucn.uk.2004.rlts.t59266a11895434.en,"Eurycea junaluska: Geoffrey Hammerson, Travis Ryan",,2016,IUCN Red List of Threatened Species,,,,
1706.03762_002,1706.03762,"[2] Dzmitry Bahdanau, Kyunghyun Cho, and Yoshua Bengio. Neural machine translation by jointly learning to align and translate. CoRR, abs/1409.0473, 2014.",10.1007/s10710-017-9314-z,"Ian Goodfellow, Yoshua Bengio, and Aaron Courville: Deep learning",Jeff Heaton,2014,Genetic Programming and Evolvable Machines,,,,
1706.03762_003,1706.03762,"[3] Denny Britz, Anna Goldie, Minh-Thang Luong, and Quoc V. Le. Massive exploration of neural machine translation architectures. CoRR, abs/1703.03906, 2017.",10.1163/1570-6664_iyb_sim_person_52709,"Le Luong Minh,",,2017,International Year Book and Statesmen's Who's Who,,,,
1706.03762_004,1706.03762,"[4] Jianpeng Cheng, Li Dong, and Mirella Lapata. Long short-term memory-networks for machine reading. arXiv preprint arXiv:1601.06733, 2016. 10",10.1093/gao/9781884446054.article.t050904,Li Cheng,Joan Stanley-Baker; Henning von Mirbach,2016,Oxford Art Online,,,,
1706.03762_005,1706.03762,"[5] Kyunghyun Cho, Bart van Merrienboer, Caglar Gulcehre, Fethi Bougares, Holger Schwenk, and Yoshua Bengio. Learning phrase representations using rnn encoder-decoder for statistical machine translation. CoRR, abs/1406.1078, 2014.",10.1007/978-3-662-38087-1_43,Bart Van Tongeren,Bart Van Tongeren,2014,Verleger • Humanist Homme de Lettres,,,,
1706.03762_006,1706.03762,"[6] Francois Chollet. Xception: Deep learning with depthwise separable convolutions. arXiv preprint arXiv:1610.02357, 2016.",10.1109/cvpr.2017.195,Xception: Deep Learning with Depthwise Separable Convolutions,Francois Chollet,2016,2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,,
1706.03762_007,1706.03762,"[7] Junyoung Chung, Çaglar Gülçehre, Kyunghyun Cho, and Yoshua Bengio. Empirical evaluation of gated recurrent neural networks on sequence modeling. CoRR, abs/1412.3555, 2014.",,,,2014,,,,,
1706.03762_008,1706.03762,"[8] Chris Dyer, Adhiguna Kuncoro, Miguel Ballesteros, and Noah A. Smith. Recurrent neural network grammars. In Proc. of NAACL, 2016.",10.33683/didit.21.01.15,"Chris Naylor-Ballesteros, Cosa c’è nella tua valigia? , Milano, Terre di Mezzo, 2019.",Silvia Demartini,2016,DIDIT. Didattica dell’italiano. Studi applicati di lingua e letteratura,,,,
1706.03762_009,1706.03762,"[9] Jonas Gehring, Michael Auli, David Grangier, Denis Yarats, and Yann N. Dauphin. Convolu- tional sequence to sequence learning. arXiv preprint arXiv:1705.03122v2, 2017.",10.1093/benz/9780199773787.article.b00102405,"Labram, Jonas David",,2017,Benezit Dictionary of Artists,,,,
1706.03762_010,1706.03762,"[10] Alex Graves. Generating sequences with recurrent neural networks. arXiv preprint arXiv:1308.0850, 2013.",10.1145/3758126.3758133,From Sequences to Profiles: Generating Universal Behavioral Profiles exploiting Recurrent Neural Networks,Simone Colecchia; Mauro Orazio Drago; Jihad Founoun; Paolo Gennaro; Ernesto Natuzzi; Luca Pagano; Sajjad Shaffaf; Giuseppe Vitello; Andrea Pisani; Maurizio Ferrari Dacrema,2013,Proceedings of the Recommender Systems 2025,,,,
1706.03762_011,1706.03762,"[11] Kaiming He, Xiangyu Zhang, Shaoqing Ren, and Jian Sun. Deep residual learning for im- age recognition. In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition, pages 770–778, 2016.",10.1002/anie.202304348,Jian He,,2016,Angewandte Chemie International Edition,,,,
1706.03762_012,1706.03762,"[12] Sepp Hochreiter, Yoshua Bengio, Paolo Frasconi, and Jürgen Schmidhuber. Gradient flow in recurrent nets: the difficulty of learning long-term dependencies, 2001.",,,,2001,,,,,
1706.03762_013,1706.03762,"[13] Sepp Hochreiter and Jürgen Schmidhuber. Long short-term memory. Neural computation, 9(8):1735–1780, 1997.",,,,1997,,,,,
