essay_file,citation_raw,annotator_A,annotator_B,final,note
essay_01_real_only.pdf,LeCun, Bengio, & Hinton, 2015,,,
essay_01_real_only.pdf,He, Zhang, Ren, & Sun, 2016,,,
essay_01_real_only.pdf,Vaswani et al., 2017,,,
essay_01_real_only.pdf,Devlin et al., 2019,,,
essay_01_real_only.pdf,Brown et al., 2020,,,
essay_02_mixed.pdf,Vaswani et al., 2017,,,
essay_02_mixed.pdf,Devlin et al., 2018,,,
essay_02_mixed.pdf,He, Zhang, Ren, & Sun, 2016,,,
essay_02_mixed.pdf,Smith & Doe, 2024,,,
essay_03_fabricated.pdf,Smith & Doe, 2024,,,
essay_03_fabricated.pdf,Nguyen et al., 2023,,,
essay_03_fabricated.pdf,Anderson and Brown, 2025,,,
essay_04_real_small.pdf,LeCun et al., 2015,,,
essay_04_real_small.pdf,Vaswani et al., 2017,,,
essay_05_edge_doi_only.pdf,10.48550/arXiv.1706.03762,,,
essay_05_edge_doi_only.pdf,10.1038/nature14539,,,
